key,value
Recording Name,D:/Work/ETH/projects/ComputationalMixedReality/development/CompAug/Assets/.././log/log_20200220-1418//gaze/
Start Date,20.02.2020
Start Time,14:18:11
Start Time (System),1582204691.3720143
Start Time (Synced),530369.578906
Recording UUID,b1355ee3-d518-41e5-9efa-e6425781577d
Duration Time,00:00:13
World Camera Frames,375
World Camera Resolution,640x480
Capture Software Version,1.21.5
Data Format Version,1.16
System Info,User: dalind\, Platform: Windows\, Machine: DESKTOP-CKE801U\, Release: 10\, Version: 10.0.18362
